expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,cont_rating
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1210.153952,151.1510395,2789.104144,154.2126877,0.097894665,0.035538495,0.008386166,0.008956599,1190.763944,25.33734511,7.113089969,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1709.106251,272.3171593,3176.60581,302.811789,0.404772663,0.057756386,0.14349784,0.025166254,1219.551454,18.85812192,4.73392643,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1773.012877,325.5614954,3199.168777,374.9899325,0.501581448,0.280425244,0.046154536,0.007803529,1215.059893,18.02245368,6.410766036,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1470.514893,212.0430554,3242.662247,295.4189184,0.242835071,0.086584585,0.024003873,0.009838317,1328.667094,19.90576286,4.497655363,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1698.629718,170.726745,3198.669043,191.3251291,0,0,0.084638759,0.029153451,1205.077558,21.17574712,3.303964556,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),117.1875,635.3707214,99.47317975,1628.056703,215.2986933,0.011084713,0.009672055,0.000782922,0.001541073,975.5043853,61.60721622,30.00563539,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1326.097749,112.6806681,2667.74387,66.84827897,0.268415179,0.181347433,0.008587613,0.004814715,1162.356956,23.79692122,6.555553661,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1790.061358,163.8305265,3528.576426,82.36221033,0.51485666,0.033828582,0.012466526,0.008152375,1387.845203,22.90567541,9.562676199,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1128.619934,138.3685858,2714.035848,179.94668,0.184645273,0.023432239,0.030583857,0.016138704,1182.68438,19.97759931,4.332469269,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1670.815141,142.870823,3305.678638,211.5580771,0.495992762,0.062409231,0.008297728,0.008323928,1309.836556,41.13610163,30.24898658,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1138.24423,141.357937,2075.751266,80.77362693,0.289646563,0.120884465,0.002023922,0.002596802,1015.061579,21.90564063,11.39045652,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,684.0424815,78.20196933,1752.731876,183.2737489,0.013211704,0.005056778,0.002610873,0.001963889,1004.334576,23.76932077,6.597991378,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1111.877514,127.9779195,2368.070362,129.9225384,0.111643582,0.026550377,0.013101456,0.013049725,1037.177879,22.98877327,6.118957154,20
