,expression,rating,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/
640,(((t|6)*(t>>11))*7)^((t^8)>>10),40,29.296875,1971.1442710000001,360.46184569999997,3667.344083,424.91247819999995,0.48568367700000004,0.279075717,0.015640933,0.015258103,1455.166532,28.35748686,9.493184869,4,5,3,7,1,8,2,0,0,0,1,0,0,0,0,0,2,2,0,2,0,1,0,0,0
641,((t-((t*5)+(t|((t|4)>>1))))^5)&((t>>(t&3))^5),0,117.1875,1560.0728800000002,84.25453159999999,3336.212353,184.48840369999996,0.228925823,0.007157265,0.051545948,0.008187381,1311.474318,19.13216388,3.7906791689999997,7,6,6,11,2,3,1,0,0,1,0,0,0,0,0,0,2,1,2,2,0,2,1,1,0
642,(((t^12)&10)^14)>>((((t>>10)&9)*(t&(t^9)))&(t&10)),20,117.1875,1357.75998,61.10904538,2268.973214,122.87808970000002,0.186755605,0.006704572,0.0023863639999999998,0.002261219,979.8444427000001,27.54954295,12.99282841,5,7,5,11,0,10,1,1,0,0,0,0,0,0,0,0,2,1,5,3,0,0,0,0,0
643,(t>>8)&((t|13)>>(t>>(((t*11)>>12)*13))),30,117.1875,523.5961143999999,202.42883830000002,1290.195229,623.2054252,0.003310734,0.0035736659999999996,0.000275876,0.0009320489999999999,880.4851577,53.73812337,22.99377387,6,5,4,8,1,11,2,0,0,1,0,0,0,0,0,0,4,2,1,0,0,1,0,0,0
644,((t>>3)&((t*(t*1))|3))|(t&(t*3)),15,117.1875,1633.712608,126.36525139999999,3335.920842,87.66540853,0.20978499,0.010468633,0.111654572,0.025671272000000002,1320.754395,19.92844246,3.452805456,5,4,5,8,1,2,1,0,0,0,0,0,1,0,0,0,1,3,2,0,0,2,0,0,0
645,((t*5)*((t*6)*2))|(t>>7),35,117.1875,1419.889149,556.3038249,2892.765525,912.0249928,0.260038396,0.23949135300000002,0.000655035,0.002442361,1242.530123,41.87338301,22.27918517,4,4,3,6,1,5,2,0,0,0,0,0,1,0,0,0,1,4,0,0,0,1,0,0,0
646,(t>>((t*4)&(t^4)))|((t|5)^(t*3)),25,78.125,903.5923931,262.23618700000003,2317.297441,502.2655504,0.024945029,0.013593743,0.01252961,0.020458758,1136.278,60.76517786,33.33715109,4,4,5,8,2,4,0,0,0,0,0,0,1,0,0,0,1,2,1,2,0,2,0,0,0
647,(t>>5)^(((((t>>2)>>6)&6)&(t*5))*(t^(((t&3)>>5)|4))),35,117.1875,1653.035119,151.7059539,3007.9457620000003,123.36747709999999,0.272179837,0.011471936,0.06609483099999999,0.036571402,1188.437596,20.61792731,3.976064435,6,8,5,12,2,4,1,0,0,0,1,0,0,0,0,0,4,2,3,2,0,1,0,0,0
648,((t^(t>>(t&6)))>>5)*(((t%4)|7)^6),5,117.1875,1350.232977,220.36624780000002,2545.192564,427.45519939999997,0.24502765199999998,0.116679961,0.0015106370000000002,0.0018221210000000001,958.5724767999999,21.63949789,11.96131543,5,5,4,8,1,5,1,0,1,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0
649,(((t>>9)*(((t%11)&10)^9))&11)*((t|12)&((t&14)&11)),25,58.59375,1451.8543300000001,134.4073554,2824.843417,104.4277462,0.151072553,0.045341745,0.023963965,0.0058221340000000005,1139.5629800000002,22.64551413,4.479350576,6,8,4,11,0,10,1,0,1,0,0,0,0,0,0,0,1,2,5,1,1,1,0,0,0
